Result Level,Model,condition_id,Analysis Category,Context,Question Polarity,Source File,Question Index,N,Scorable N,Valid,Invalid,Coverage (%),Overall Accuracy (%),AMB Accuracy / UNKNOWN (%),DIS Accuracy (%),UNKNOWN Response Rate Valid (%),"sAMB [-1,1]",sAMB x100,"sDIS [-1,1]",sDIS x100,AMB Non-UNKNOWN Guess Rate (%),AMB Stereotype Share Among Non-UNKNOWN (%),Aligned DIS Accuracy (%),Nonaligned DIS Accuracy (%),Nonaligned - Aligned (pp),n_biased,n_anti,n_unknown,n_dis_aligned,n_dis_nonaligned,Notes
OVERALL,Ministral 3 3B,ministral_3_3b__native,ALL,ALL,ALL,ALL,ALL,58492,58476,58492,0,100.0,55.532,18.252,92.813,10.16,0.142212,14.221,0.018335,1.834,81.743,58.699,93.618,91.994,-1.624,N/A,N/A,N/A,14698,14540,Primary report-ready pooled/micro result for the full BBQ benchmark.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Age,ALL,ALL,ALL,ALL,3680,3680,3680,0,100.0,51.793,12.989,90.598,8.207,0.461413,46.141,0.038829,3.883,87.011,76.515,92.935,88.261,-4.674,N/A,N/A,N/A,920,920,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Disability status,ALL,ALL,ALL,ALL,1556,1556,1556,0,100.0,48.843,11.44,86.247,7.069,0.294344,29.434,0.054161,5.416,88.56,66.618,88.325,84.115,-4.21,N/A,N/A,N/A,394,384,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Gender identity,ALL,ALL,ALL,ALL,672,656,672,0,100.0,54.315,25.298,83.333,16.667,0.295732,29.573,-0.023256,-2.326,74.085,69.959,81.707,84.146,2.439,N/A,N/A,N/A,164,164,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Gender identity (names),ALL,ALL,ALL,ALL,5000,5000,5000,0,100.0,60.56,32.4,88.72,20.02,0.1656,16.56,0.02382,2.382,67.6,62.249,89.76,87.68,-2.08,N/A,N/A,N/A,1250,1250,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Nationality,ALL,ALL,ALL,ALL,3080,3080,3080,0,100.0,58.766,22.922,94.61,11.753,0.156494,15.649,0.035924,3.592,77.078,60.152,96.623,92.597,-4.026,N/A,N/A,N/A,770,770,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Physical appearance,ALL,ALL,ALL,ALL,1576,1576,1576,0,100.0,49.365,17.005,81.726,10.977,0.492386,49.239,0.044059,4.406,82.995,79.664,80.516,83.149,2.633,N/A,N/A,N/A,426,362,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Race x SES,ALL,ALL,ALL,ALL,11160,11160,11160,0,100.0,59.086,20.036,98.136,10.287,0.04552,4.552,0.003243,0.324,79.964,52.846,98.387,97.885,-0.502,N/A,N/A,N/A,2790,2790,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Race x gender,ALL,ALL,ALL,ALL,15960,15960,15960,0,100.0,51.31,11.19,91.429,6.391,0.00614,0.614,0.014644,1.464,88.81,50.346,92.317,90.537,-1.78,N/A,N/A,N/A,3996,3984,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Race/ethnicity,ALL,ALL,ALL,ALL,1880,1880,1880,0,100.0,65.638,33.617,97.66,17.447,0.129787,12.979,0.010776,1.078,66.383,59.776,98.511,96.809,-1.702,N/A,N/A,N/A,470,470,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Race/ethnicity (names),ALL,ALL,ALL,ALL,5000,5000,5000,0,100.0,58.08,20.0,96.16,10.18,0.0624,6.24,0.000401,0.04,80.0,53.9,96.24,96.08,-0.16,N/A,N/A,N/A,1250,1250,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Religion,ALL,ALL,ALL,ALL,1200,1200,1200,0,100.0,56.083,25.833,86.333,14.917,0.151667,15.167,0.038194,3.819,74.167,60.225,88.667,84.0,-4.667,N/A,N/A,N/A,300,300,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,SES,ALL,ALL,ALL,ALL,6864,6864,6864,0,100.0,54.385,15.181,93.59,8.071,0.3581,35.81,0.029715,2.971,84.819,71.11,94.349,92.798,-1.552,N/A,N/A,N/A,1752,1680,Category-level pooled result across both contexts and both polarities.
CATEGORY,Ministral 3 3B,ministral_3_3b__native,Sexual orientation,ALL,ALL,ALL,ALL,864,864,864,0,100.0,58.796,28.935,88.657,16.782,0.090278,9.028,0.029126,2.913,71.065,56.352,90.278,87.037,-3.241,N/A,N/A,N/A,216,216,Category-level pooled result across both contexts and both polarities.
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Age,ambig,neg,ALL,ALL,920,920,920,0,100.0,13.478,13.478,N/A,13.478,0.476087,47.609,N/A,N/A,86.522,77.513,N/A,N/A,N/A,617,179,124,0,0,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Age,ambig,nonneg,ALL,ALL,920,920,920,0,100.0,12.5,12.5,N/A,12.5,0.446739,44.674,N/A,N/A,87.5,75.528,N/A,N/A,N/A,608,197,115,0,0,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Age,disambig,neg,ALL,ALL,920,920,920,0,100.0,96.63,N/A,96.63,2.283,N/A,N/A,0.030033,3.003,N/A,N/A,98.696,94.565,-4.13,463,436,21,460,460,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Age,disambig,nonneg,ALL,ALL,920,920,920,0,100.0,84.565,N/A,84.565,4.565,N/A,N/A,0.047836,4.784,N/A,N/A,87.174,81.957,-5.217,460,418,42,460,460,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Disability status,ambig,neg,ALL,ALL,389,389,389,0,100.0,7.712,7.712,N/A,7.712,0.40874,40.874,N/A,N/A,92.288,72.145,N/A,N/A,N/A,259,100,30,0,0,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Disability status,ambig,nonneg,ALL,ALL,389,389,389,0,100.0,15.167,15.167,N/A,15.167,0.179949,17.995,N/A,N/A,84.833,60.606,N/A,N/A,N/A,200,130,59,0,0,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Disability status,disambig,neg,ALL,ALL,389,389,389,0,100.0,92.545,N/A,92.545,0.771,N/A,N/A,-0.041451,-4.145,N/A,N/A,89.848,95.312,5.465,185,201,3,197,192,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Disability status,disambig,nonneg,ALL,ALL,389,389,389,0,100.0,79.949,N/A,79.949,4.627,N/A,N/A,0.153639,15.364,N/A,N/A,86.802,72.917,-13.885,214,157,18,197,192,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Gender identity,ambig,neg,ALL,ALL,168,164,168,0,100.0,25.0,25.0,N/A,25.0,0.292683,29.268,N/A,N/A,74.39,69.672,N/A,N/A,N/A,85,37,42,0,0,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Gender identity,ambig,nonneg,ALL,ALL,168,164,168,0,100.0,25.595,25.595,N/A,25.595,0.29878,29.878,N/A,N/A,73.78,70.248,N/A,N/A,N/A,85,36,43,0,0,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Gender identity,disambig,neg,ALL,ALL,168,164,168,0,100.0,90.476,N/A,90.476,1.786,N/A,N/A,0.018634,1.863,N/A,N/A,91.463,89.024,-2.439,82,79,3,82,82,
CATEGORY_CONTEXT_POLARITY,Ministral 3 3B,ministral_3_3b__native,Gender identity,disambig,nonneg,ALL,ALL,168,164,168,0,100.0,76.19,N/A,76.19,14.286,N/A,N/A,-0.071429,-7.143,N/A,N/A,71.951,79.268,7.317,65,75,24,82,82,
